file_name,how_many,primary_posture,primary_occluded,staff_patient_other
cd7696cc-93bd-44d7-916f-1d7cd9379db7_cat-1_000.png,One,Sitting,Yes,Staff
ccf610b1-af16-44f9-9603-b64e44f5ebcc_cat-1_002.png,One,Standing,Yes,Other
ccf610b1-af16-44f9-9603-b64e44f5ebcc_cat-1_001.png,One,Sitting,Yes,Other
ccf610b1-af16-44f9-9603-b64e44f5ebcc_cat-1_000.png,Three,Lying,No,Patient
cced86dc-dac1-4ad6-8045-e03100653657_cat-1_002.PNG,One,Standing,Yes,Other
44d4fcdd-2cb5-4c54-a0ed-11467b0ce9d6_cat-1_000.png,One,Sitting,No,Patient
cced86dc-dac1-4ad6-8045-e03100653657_cat-1_001.PNG,One,Standing,No,Staff
cced86dc-dac1-4ad6-8045-e03100653657_cat-1_000.PNG,Two,Standing,No,Other
cc6fff0f-56d4-4eed-8c09-f07bd7943408_cat-1_003.png,One,Sitting,Yes,Patient
cc6fff0f-56d4-4eed-8c09-f07bd7943408_cat-1_002.png,One,Sitting,No,Other
cc6fff0f-56d4-4eed-8c09-f07bd7943408_cat-1_001.png,One,Sitting,No,Patient
cc6fff0f-56d4-4eed-8c09-f07bd7943408_cat-1_000.png,One,Standing,No,Staff
cc591f8e-4925-4aa0-aafd-06e8ff15cb1f_cat-1_002.PNG,One,Standing,Yes,Other
cc591f8e-4925-4aa0-aafd-06e8ff15cb1f_cat-1_001.PNG,One,Standing,Yes,Staff
cc591f8e-4925-4aa0-aafd-06e8ff15cb1f_cat-1_000.PNG,One,Standing,Yes,Staff
cc486c1a-c20f-49e8-a916-06ff7ffbec59_cat-1_001.png,Two,Unknown,Unknown / Watermark,Other
4469-0-885x657_cat-1_004.jpg,One,Standing,No,Staff
cc486c1a-c20f-49e8-a916-06ff7ffbec59_cat-1_000.png,One,Sitting,No,Patient
cc302613-6dfb-421b-aef6-ba11862bacd4_cat-1_002.png,One,Standing,Yes,Staff
cc302613-6dfb-421b-aef6-ba11862bacd4_cat-1_001.png,One,Sitting,No,Other
cc302613-6dfb-421b-aef6-ba11862bacd4_cat-1_000.png,One,Unknown,Yes,Other
cc2ff2a0-0119-4a44-b281-dbfb9cf063b7_cat-1_003.png,One,Sitting,No,Other
cc2ff2a0-0119-4a44-b281-dbfb9cf063b7_cat-1_002.png,One,Sitting,Yes,Other
cc2ff2a0-0119-4a44-b281-dbfb9cf063b7_cat-1_001.png,One,Sitting,No,Other
cc2ff2a0-0119-4a44-b281-dbfb9cf063b7_cat-1_000.png,Two,Sitting,No,Other
cbfdd2ec-8c20-4a83-81c6-899541ee6a63_cat-1_004.png,One,Sitting,Yes,Staff
cbfdd2ec-8c20-4a83-81c6-899541ee6a63_cat-1_003.png,One,Sitting,Yes,Staff
