final_url,how_many,primary_posture,primary_occluded,staff_patient_other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_003.png,One,Standing,No,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_004.png,Two,Standing,Yes,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_005.png,Two,Standing,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_006.png,One,Standing,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_007.png,One,Standing,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_008.png,One,Unknown,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_009.png,One,Sitting,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_010.png,One,Unknown,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_011.png,One,Standing,Yes,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_012.png,One,Unknown,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_013.png,One,Unknown,No,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_014.png,One,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_015.png,One,Standing,Yes,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_016.png,Two,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_017.png,Two,Unknown,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_018.png,One,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_019.png,One,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_020.png,One,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_021.png,One,Standing,Yes,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_022.png,Three,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_023.png,One,Standing,Yes,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_027.png,One,Standing,Yes,Other
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_028.png,Two,Standing,Yes,Staff
ec55e8426394d29a099384655db0c431813245a24cdebcbbc151e526de1ea7e8_cat-1_031.png,One,Standing,Yes,Other
ec71f7d36ad28e5f184dce93fd6fa2a7ff2ad2019d0b44db8e518caab647c8be_cat-1_002.PNG,One,Standing,No,Other
ec79b6456d92cc417ab6191a2ce7aee290f1b58f2ffc2c6d24779737586c4c1d_cat-1_001.jpg,None,,,
ec79b6456d92cc417ab6191a2ce7aee290f1b58f2ffc2c6d24779737586c4c1d_cat-1_002.jpg,One,Unknown,Yes,Other
ec79b6456d92cc417ab6191a2ce7aee290f1b58f2ffc2c6d24779737586c4c1d_cat-1_003.jpg,One,Standing,No,Staff
ec79b6456d92cc417ab6191a2ce7aee290f1b58f2ffc2c6d24779737586c4c1d_cat-1_004.jpg,One,Standing,No,Staff
ec79b6456d92cc417ab6191a2ce7aee290f1b58f2ffc2c6d24779737586c4c1d_cat-1_005.jpg,One,Standing,Yes,Other
ec845734af8b152d6a35c566d212e1cf7451d55c311141526c705cfaac7a2ca2_cat-1_001.PNG,Two,Lying,No,Patient
ec845734af8b152d6a35c566d212e1cf7451d55c311141526c705cfaac7a2ca2_cat-1_002.PNG,One,Sitting,No,Staff
ec845734af8b152d6a35c566d212e1cf7451d55c311141526c705cfaac7a2ca2_cat-1_003.PNG,One,Standing,Yes,Other
ec84ae0dc661feca8e50857ea165fd23ef49aa31d13d6e7f9f27d0cae91b391e_cat-1_001.PNG,One,Standing,No,Patient
ec84ae0dc661feca8e50857ea165fd23ef49aa31d13d6e7f9f27d0cae91b391e_cat-1_002.PNG,One,Standing,No,Patient
ec84ae0dc661feca8e50857ea165fd23ef49aa31d13d6e7f9f27d0cae91b391e_cat-1_003.PNG,One,Standing,No,Staff
ec8b4a40866ac4f6452cbc5fb0c8aa43cdf9a34cd7b971c6f2e1de45e6f090a8_cat-1_001.png,None,,,
ec8b4a40866ac4f6452cbc5fb0c8aa43cdf9a34cd7b971c6f2e1de45e6f090a8_cat-1_002.png,None,,,
ec8b4a40866ac4f6452cbc5fb0c8aa43cdf9a34cd7b971c6f2e1de45e6f090a8_cat-1_003.png,None,,,
ec8b4a40866ac4f6452cbc5fb0c8aa43cdf9a34cd7b971c6f2e1de45e6f090a8_cat-1_004.png,One,Standing,No,Staff
ec8c54f3d69a5d548bef99bb99971c4d1f9cdc65b7be014eced66a460a3dc4dc_cat-1_001.PNG,Two,Sitting,No,Staff
ec96089925f336e807860eae8253bb46c17dffd04c31319b393e174c9a33771c_cat-1_001.PNG,One,Standing,No,Staff
ec96089925f336e807860eae8253bb46c17dffd04c31319b393e174c9a33771c_cat-1_002.PNG,One,Standing,No,Other
ec96089925f336e807860eae8253bb46c17dffd04c31319b393e174c9a33771c_cat-1_003.PNG,One,Standing,No,Other
eca83c3256c574f6ea2cdfd58e222914b09d4beba9c9611da8861415aa427fa5_cat-1_001.png,One,Sitting,Yes,Other
eca83c3256c574f6ea2cdfd58e222914b09d4beba9c9611da8861415aa427fa5_cat-1_002.png,One,Standing,No,Staff
ecc4bfd387eb8e66b772f96a36b0a87eaeea600ab2d21219bdb6c7f76ab849a9_cat-1_001.png,One,Sitting,No,Other
ecc4bfd387eb8e66b772f96a36b0a87eaeea600ab2d21219bdb6c7f76ab849a9_cat-1_002.png,One,Unknown,Yes,Staff
ecc78457b748f86ba219ff1528a00b3db1dce819c4a16fd753e4c0c2df82af9f_cat-1_001.png,One,Standing,No,Staff
ecc78457b748f86ba219ff1528a00b3db1dce819c4a16fd753e4c0c2df82af9f_cat-1_002.png,One,Standing,No,Patient
a95031a473790785d913110b5a27941e0fab6d523438d7f50ab636e9d529461c_cat-1_002.png,Two,Unknown,,
a95031a473790785d913110b5a27941e0fab6d523438d7f50ab636e9d529461c_cat-1_003.png,Two,Sitting,No,Patient
a95031a473790785d913110b5a27941e0fab6d523438d7f50ab636e9d529461c_cat-1_004.png,None,,,
a96d2bdd7e2311d7460c6a40e38f7fe1c88efc09681054d7a230d136e628e0dc_cat-1_001.jpg,Three,Standing,No,Staff
a96d2bdd7e2311d7460c6a40e38f7fe1c88efc09681054d7a230d136e628e0dc_cat-1_002.jpg,One,Standing,No,Staff
a96d2bdd7e2311d7460c6a40e38f7fe1c88efc09681054d7a230d136e628e0dc_cat-1_003.jpg,One,Standing,No,Staff
a9724d92835572d5c419ad7ac436c7282c74f7ef6530d67e2b68f48053661308_cat-1_001.PNG,One,Standing,No,Other
a980e98810794c17179b729e5c60b326367a4e26e8a7ab75f8a917d4a85b97b6_cat-1_001.png,One,Lying,Yes,Patient
a980e98810794c17179b729e5c60b326367a4e26e8a7ab75f8a917d4a85b97b6_cat-1_002.png,One,Standing,Yes,Staff
a98ef4887c0e76669d9fecaa7fb12b914d464a6e1adb110781070811d3a7a871_cat-1_002.PNG,One,Standing,No,Other
a98ef4887c0e76669d9fecaa7fb12b914d464a6e1adb110781070811d3a7a871_cat-1_003.PNG,Three,Standing,No,Staff
a98ef4887c0e76669d9fecaa7fb12b914d464a6e1adb110781070811d3a7a871_cat-1_007.PNG,Two,Unknown,,
a9a7e48d6c47978637734516e926b01b931fd535fc9f7ae1b72b49f0d88a9148_cat-1_002.jpg,One,Standing,No,Other
a9b342d019b82e113ce7d5f93141abb0c53141bae25764243ba781a879d3cad1_cat-1_001.jpg,Two,Lying,No,Patient
a9b342d019b82e113ce7d5f93141abb0c53141bae25764243ba781a879d3cad1_cat-1_002.jpg,One,Standing,No,Other
a9b342d019b82e113ce7d5f93141abb0c53141bae25764243ba781a879d3cad1_cat-1_003.jpg,Two,Standing,No,Staff
a9b342d019b82e113ce7d5f93141abb0c53141bae25764243ba781a879d3cad1_cat-1_004.jpg,Two,Standing,Yes,Staff
a9bb01cdfe23685c2494371c101af0c7120b8160c46e9f81b7f54cbc141586b1_cat-1_001.png,One,Standing,No,Staff
a9bb01cdfe23685c2494371c101af0c7120b8160c46e9f81b7f54cbc141586b1_cat-1_002.png,One,Standing,Yes,Staff
a9bb01cdfe23685c2494371c101af0c7120b8160c46e9f81b7f54cbc141586b1_cat-1_003.png,One,Standing,No,Staff
a9bb544994ccbcce7e270b31dd22a1f0e5a1047eefddc827b0d07b2aa17e2656_cat-1_001.png,Three,Lying,No,Patient
a9bb544994ccbcce7e270b31dd22a1f0e5a1047eefddc827b0d07b2aa17e2656_cat-1_002.png,One,Standing,No,Staff
a9bb544994ccbcce7e270b31dd22a1f0e5a1047eefddc827b0d07b2aa17e2656_cat-1_003.png,Two,Standing,No,Staff
a9bb544994ccbcce7e270b31dd22a1f0e5a1047eefddc827b0d07b2aa17e2656_cat-1_004.png,One,Standing,No,Staff
a9c438f92ea785a091f35981c23a363d55105fa781b3c6180b557342f6059efc_cat-1_002.PNG,One,Standing,No,Staff
a9c438f92ea785a091f35981c23a363d55105fa781b3c6180b557342f6059efc_cat-1_003.PNG,One,Standing,No,Staff
a9c438f92ea785a091f35981c23a363d55105fa781b3c6180b557342f6059efc_cat-1_004.PNG,Two,Standing,No,Other
a9c438f92ea785a091f35981c23a363d55105fa781b3c6180b557342f6059efc_cat-1_006.PNG,None,,,
a9e04286d4b867e811ebb2e5d454c03df04a1e2d7b5fd29497e57e14f8ef1a14_cat-1_001.PNG,One,Standing,No,Staff
a9e04286d4b867e811ebb2e5d454c03df04a1e2d7b5fd29497e57e14f8ef1a14_cat-1_002.PNG,One,Standing,No,Staff
a9e5caf84cecda35ea894593a6b80b4b9e280cb963d1fe796627ef371461f502_cat-1_001.png,Two,Sitting,No,Other
a9e5caf84cecda35ea894593a6b80b4b9e280cb963d1fe796627ef371461f502_cat-1_002.png,One,Lying,No,Patient
a9e5caf84cecda35ea894593a6b80b4b9e280cb963d1fe796627ef371461f502_cat-1_003.png,Two,Sitting,No,Other
a9ecca7f2e51e37df2b0b109d30570a47115707cf6833c085cdfa0ef3d5f7198_cat-1_001.PNG,One,Sitting,No,Patient
a9ecca7f2e51e37df2b0b109d30570a47115707cf6833c085cdfa0ef3d5f7198_cat-1_002.PNG,One,Standing,No,Staff
a9eee8c6ccaa49d7eba2c1da204f20934069cd73f0b76154e09156d0bfe22aad_cat-1_001.png,One,Sitting,No,Other
a9eee8c6ccaa49d7eba2c1da204f20934069cd73f0b76154e09156d0bfe22aad_cat-1_002.png,None,,,
a9eee8c6ccaa49d7eba2c1da204f20934069cd73f0b76154e09156d0bfe22aad_cat-1_003.png,Two,Sitting,No,Staff
a9eee8c6ccaa49d7eba2c1da204f20934069cd73f0b76154e09156d0bfe22aad_cat-1_004.png,Three,Standing,Yes,Other
aa20efb68c4fd0942e8d57295687b9df776332175d6c3da1b9d02144d521eec8_cat-1_001.png,One,Standing,No,Staff
aa20efb68c4fd0942e8d57295687b9df776332175d6c3da1b9d02144d521eec8_cat-1_002.png,One,Standing,No,Staff
aa2c5b0959790d9110e31615c1e679987e3c90ecb280b0db63b58b63c8ccc087_cat-1_001.PNG,Three,Standing,No,Staff
aa2c5b0959790d9110e31615c1e679987e3c90ecb280b0db63b58b63c8ccc087_cat-1_002.PNG,Two,Standing,Yes,Staff
aa2c5b0959790d9110e31615c1e679987e3c90ecb280b0db63b58b63c8ccc087_cat-1_003.PNG,Two,Standing,Yes,Staff
aa3e70a7299e54a2fb881255a92331c04cfb1e6b8759f01a6b19a3718865ef2c_cat-1_001.png,One,Sitting,No,Other
aa3e70a7299e54a2fb881255a92331c04cfb1e6b8759f01a6b19a3718865ef2c_cat-1_002.png,One,Sitting,No,Patient
aa3e70a7299e54a2fb881255a92331c04cfb1e6b8759f01a6b19a3718865ef2c_cat-1_003.png,One,Sitting,No,Staff
aa4295a8a466c0aa9698c35c8b38be2173e5570e29bebba3be8f913384ff200e_cat-1_002.jpg,Two,Standing,Yes,Staff
aa4295a8a466c0aa9698c35c8b38be2173e5570e29bebba3be8f913384ff200e_cat-1_003.jpg,Two,Standing,No,Staff
aa4295a8a466c0aa9698c35c8b38be2173e5570e29bebba3be8f913384ff200e_cat-1_004.jpg,Two,Standing,Yes,Staff
def984d203413c2a0fc6ecee3d02282d560f95cfbc05f0b272a18f334afee6ed_cat-1_002.PNG,Two,Standing,No,Staff
df468a6d7232a73a928e897798826db6690aee315562fc4b6e29e29a8209d601_cat-1_001.jpg,One,Standing,No,Staff
df468a6d7232a73a928e897798826db6690aee315562fc4b6e29e29a8209d601_cat-1_002.jpg,One,Standing,No,Staff
df64cd905c9fa8f956fc86e9bcf396df7c0f1129a532bf030627e5dbf552b0c6_cat-1_001.jpg,One,Standing,No,Staff
df64cd905c9fa8f956fc86e9bcf396df7c0f1129a532bf030627e5dbf552b0c6_cat-1_002.jpg,One,Standing,No,Staff
df698e79dd4b23a3d95fd1dfb5629bada9c812baaeb33e8725fe935a95bbb6b1_cat-1_001.jpg,One,Standing,No,Staff
df698e79dd4b23a3d95fd1dfb5629bada9c812baaeb33e8725fe935a95bbb6b1_cat-1_002.jpg,Two,Standing,No,Staff
df698e79dd4b23a3d95fd1dfb5629bada9c812baaeb33e8725fe935a95bbb6b1_cat-1_004.jpg,One,Standing,No,Staff
df7423db5b45097d5ce3406ab9133a39326d78338c9cfedbc85cf8a971eb196e_cat-1_001.png,One,Standing,No,Staff
df79c87636a8bf16d4906e6214954095c6cf767d1aba763e305572b038a88986_cat-1_001.png,One,Lying,Yes,Patient
df79c87636a8bf16d4906e6214954095c6cf767d1aba763e305572b038a88986_cat-1_002.png,None,,,
df79c87636a8bf16d4906e6214954095c6cf767d1aba763e305572b038a88986_cat-1_003.png,One,Standing,No,Staff
df79c87636a8bf16d4906e6214954095c6cf767d1aba763e305572b038a88986_cat-1_004.png,Three,Standing,Yes,Other
df79c87636a8bf16d4906e6214954095c6cf767d1aba763e305572b038a88986_cat-1_005.png,One,Standing,No,Other
df7fb8ccb713ff3b9c17df5b6c77a745348e7ace1c546822a3606dd969e1dc32_cat-1_001.png,One,Sitting,No,Staff
df7fb8ccb713ff3b9c17df5b6c77a745348e7ace1c546822a3606dd969e1dc32_cat-1_002.png,One,Sitting,No,Staff
df81032c69b4be00a7a9aeca01f3c36a93ec3d5721d766011d58224234c06120_cat-1_001.png,One,Sitting,No,Patient
df81032c69b4be00a7a9aeca01f3c36a93ec3d5721d766011d58224234c06120_cat-1_002.png,Two,Sitting,Yes,Other
df8986289a447eec8f76f3362c3076edc1822aaac5e8441460030b016172faef_cat-1_001.png,Two,Lying,No,Patient
df8986289a447eec8f76f3362c3076edc1822aaac5e8441460030b016172faef_cat-1_002.png,Two,Standing,No,Staff
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_001.PNG,One,Standing,No,Other
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_002.PNG,Three,Standing,No,Staff
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_003.PNG,One,Standing,No,Staff
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_004.PNG,One,Standing,Yes,Staff
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_005.PNG,Two,Standing,Yes,Staff
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_006.PNG,One,Standing,Yes,Staff
df8f2a421f1958f40faa0de65270dab43292ae69b2dcb5e5f6c96075589d849b_cat-1_007.PNG,One,Standing,Yes,Staff
df9872c42816e9641501cbd1b9c9feb45664f7d3984b96ef9d76fe591bcaf7b8_cat-1_001.png,Two,Unknown,,
df9872c42816e9641501cbd1b9c9feb45664f7d3984b96ef9d76fe591bcaf7b8_cat-1_002.png,Two,Sitting,No,Other
df9872c42816e9641501cbd1b9c9feb45664f7d3984b96ef9d76fe591bcaf7b8_cat-1_003.png,One,Standing,No,Other
dfc225d256bb4d90e831b366ff912044c47d057b9004adbeb04d629030f76cb8_cat-1_001.PNG,Two,Standing,No,Staff
dfc225d256bb4d90e831b366ff912044c47d057b9004adbeb04d629030f76cb8_cat-1_002.PNG,One,Standing,No,Staff
dfc225d256bb4d90e831b366ff912044c47d057b9004adbeb04d629030f76cb8_cat-1_003.PNG,Two,Unknown,,
dfdca0d0dabd9320838c14b5eb9170153a02154fd6bf06c824592999675587fa_cat-1_001.PNG,Two,Unknown,,
dfdca0d0dabd9320838c14b5eb9170153a02154fd6bf06c824592999675587fa_cat-1_002.PNG,One,Standing,No,Patient
dfdca0d0dabd9320838c14b5eb9170153a02154fd6bf06c824592999675587fa_cat-1_003.PNG,One,Sitting,Yes,Other
dfdca0d0dabd9320838c14b5eb9170153a02154fd6bf06c824592999675587fa_cat-1_004.PNG,Two,Standing,Yes,Staff
dfe7652a32e2101f29b572132cc5d6f89edb25d2d43d3316472ec317a6f858a5_cat-1_001.jpg,One,Standing,No,Staff
dfe7652a32e2101f29b572132cc5d6f89edb25d2d43d3316472ec317a6f858a5_cat-1_002.jpg,One,Standing,No,Staff
dfe7652a32e2101f29b572132cc5d6f89edb25d2d43d3316472ec317a6f858a5_cat-1_003.jpg,One,Standing,No,Staff
dfec79cde1ba8fd8c9ed77e1c760112ddf296e7543ada8b0463184f9dec3f991_cat-1_001.png,One,Sitting,No,Patient
dfec79cde1ba8fd8c9ed77e1c760112ddf296e7543ada8b0463184f9dec3f991_cat-1_002.png,One,Standing,Yes,Staff
dfec79cde1ba8fd8c9ed77e1c760112ddf296e7543ada8b0463184f9dec3f991_cat-1_003.png,One,Standing,Unknown / Watermark,Other
dfec79cde1ba8fd8c9ed77e1c760112ddf296e7543ada8b0463184f9dec3f991_cat-1_004.png,One,Sitting,No,Staff
dfec79cde1ba8fd8c9ed77e1c760112ddf296e7543ada8b0463184f9dec3f991_cat-1_005.png,One,Sitting,Yes,Patient
dff0d2585f943af873328b8836f92ab256fcbab503e10dfc93ab436253bc7a72_cat-1_001.PNG,Two,Standing,No,Staff
dff0d2585f943af873328b8836f92ab256fcbab503e10dfc93ab436253bc7a72_cat-1_002.PNG,One,Sitting,Yes,Patient
e00b12f178f8b40c28bba07dcfdeda117d0c145398d56b9f3da95088539b1cf8_cat-1_001.png,None,,,
e00b12f178f8b40c28bba07dcfdeda117d0c145398d56b9f3da95088539b1cf8_cat-1_002.png,Two,Sitting,Yes,Staff
e00b12f178f8b40c28bba07dcfdeda117d0c145398d56b9f3da95088539b1cf8_cat-1_003.png,Two,Sitting,Yes,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_004.PNG,One,Standing,No,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_005.PNG,One,Standing,No,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_006.PNG,One,Standing,No,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_007.PNG,One,Standing,No,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_008.PNG,One,Sitting,No,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_009.PNG,One,Standing,Yes,Staff
0b96f357fd99293c902dd883b034b06ff5f88a0bbd80e0344ea77802a531f412_cat-1_010.PNG,None,,,
0b9f1ebedd9e83f4d6e65fe63fc61c04e17a4f427604c96065152853f591cbf1_cat-1_001.png,One,Lying,No,Patient
