final_url,how_many,primary_posture,primary_occluded,staff_patient_other,exception_case
4c372d60285ba53557cd7f0f51e317b7609c3b7476fb6fa7b98753f76a020c02_cat-1_001.PNG,One,Standing,Yes,Staff,No
4c372d60285ba53557cd7f0f51e317b7609c3b7476fb6fa7b98753f76a020c02_cat-1_002.PNG,Two,Lying,No,Patient,No
4c5404cd941d0ae91d02db14851002f90c83d0dfe6042e1a1e3ab4fcdd1fa560_cat-1_001.PNG,One,Sitting,Yes,Staff,No
4c5404cd941d0ae91d02db14851002f90c83d0dfe6042e1a1e3ab4fcdd1fa560_cat-1_002.PNG,One,Sitting,Yes,Other,No
4c5aace616fcbf0624c347d6ed18609b76a8758a32206f257767be58c9a1fb35_cat-1_001.PNG,One,Standing,No,Staff,No
4c5aace616fcbf0624c347d6ed18609b76a8758a32206f257767be58c9a1fb35_cat-1_004.PNG,Two,Standing,No,Staff,No
4c6214b35678c23a4d2f48fb8deed988318e5e725effa4dae272db61fb9e1aa2_cat-1_001.PNG,Two,Standing,Yes,Staff,No
4c6214b35678c23a4d2f48fb8deed988318e5e725effa4dae272db61fb9e1aa2_cat-1_002.PNG,One,Lying,Yes,Patient,No
4c6214b35678c23a4d2f48fb8deed988318e5e725effa4dae272db61fb9e1aa2_cat-1_003.PNG,Two,Lying,Yes,Patient,No
4c69c1761698528a1cda62643f1633e81e4c7525f4a702f64614764baba29dd7_cat-1_001.PNG,Two,Sitting,No,Other,No
4c69c1761698528a1cda62643f1633e81e4c7525f4a702f64614764baba29dd7_cat-1_002.PNG,Two,Standing,No,Staff,No
4c71eb131f452a8cd354d49bff77161b02a20b7412df4650b2d3af1698b63e91_cat-1_001.JPG,Two,Sitting,No,Other,No
4c71eb131f452a8cd354d49bff77161b02a20b7412df4650b2d3af1698b63e91_cat-1_002.JPG,One,Sitting,No,Staff,No
4c84afdc10bceb308981508201f87a1db96704e2fedef353fd58641d2e15a416_cat-1_001.JPG,Two,Standing,No,Staff,No
4c84afdc10bceb308981508201f87a1db96704e2fedef353fd58641d2e15a416_cat-1_002.JPG,Two,Standing,Yes,Staff,No
4c84afdc10bceb308981508201f87a1db96704e2fedef353fd58641d2e15a416_cat-1_003.JPG,One,Standing,Yes,Staff,No
4c92527f4642408602f363861531bffb6ccce5784d8dbbc681bf07d2991114e0_cat-1_001.PNG,One,Sitting,Yes,Staff,No
4c96281c39a4750ec01e9707cb6206d6cf72c67498b8961e8e15b150880fe5fd_cat-1_001.PNG,Two,Standing,No,Other,No
4c96281c39a4750ec01e9707cb6206d6cf72c67498b8961e8e15b150880fe5fd_cat-1_002.PNG,One,Standing,No,Other,No
4c96281c39a4750ec01e9707cb6206d6cf72c67498b8961e8e15b150880fe5fd_cat-1_003.PNG,One,Standing,Yes,Other,Bad Image
4c9b7644effc84416791b6ee6b8d9e1b8dd3683813e9681edb128c8002e88a23_cat-1_001.PNG,Two,Standing,No,Staff,No
4c9b7644effc84416791b6ee6b8d9e1b8dd3683813e9681edb128c8002e88a23_cat-1_002.PNG,One,Standing,No,Staff,No
4c9b7644effc84416791b6ee6b8d9e1b8dd3683813e9681edb128c8002e88a23_cat-1_003.PNG,One,Standing,Yes,Staff,No
4cb15e29925699d216f29ea323e368fc9c6ae261da3b96a091edaa623f6636ba_cat-1_001.JPG,Two,Lying,Yes,Patient,No
4cb15e29925699d216f29ea323e368fc9c6ae261da3b96a091edaa623f6636ba_cat-1_002.JPG,Two,Standing,Yes,Staff,No
4cb74cc38a0543734c0c02948fd8708529b41e35c97a2fc57815991cd728b718_cat-1_001.PNG,Two,Sitting,Yes,Patient,No
4cb74cc38a0543734c0c02948fd8708529b41e35c97a2fc57815991cd728b718_cat-1_002.PNG,Two,Standing,Yes,Staff,No
4cb74cc38a0543734c0c02948fd8708529b41e35c97a2fc57815991cd728b718_cat-1_003.PNG,One,Sitting,Yes,Patient,No
4cbc3c848aec8668e6c2ad16968f8565a1529299e0416d8a6f8b55d87546ac98_cat-1_001.JPG,Two,Standing,Yes,Staff,No
4cbc3c848aec8668e6c2ad16968f8565a1529299e0416d8a6f8b55d87546ac98_cat-1_002.JPG,One,Standing,Yes,Staff,No
4cc273b8c314e687172276872864e12ae2db9825c8a704949c4ce32e69214d7c_cat-1_001.PNG,Two,Sitting,Yes,Patient,No
4cc273b8c314e687172276872864e12ae2db9825c8a704949c4ce32e69214d7c_cat-1_002.PNG,One,Sitting,Yes,Staff,No
4ce3c018a506668b3d0c7083d7ba38b0aacc8693b1a38342db0e53fb2412d7c4_cat-1_001.PNG,Two,Sitting,Yes,Staff,No
4ce3c018a506668b3d0c7083d7ba38b0aacc8693b1a38342db0e53fb2412d7c4_cat-1_002.PNG,One,Sitting,Yes,Other,No
4ce3c018a506668b3d0c7083d7ba38b0aacc8693b1a38342db0e53fb2412d7c4_cat-1_003.PNG,One,Sitting,Yes,Staff,No
4cea045860e4d89d5a729bd59ad90325f9a5e19f842a6078a26dd15e17d89a43_cat-1_001.PNG,Two,Sitting,Yes,Patient,No
4cea045860e4d89d5a729bd59ad90325f9a5e19f842a6078a26dd15e17d89a43_cat-1_002.PNG,Two,Standing,Yes,Staff,No
4ceab4aa7c38ed5a48976db4bca23758f87d5a67a69ec061c8961f7a44feb94a_cat-1_001.PNG,One,Standing,No,Staff,No
4ceab4aa7c38ed5a48976db4bca23758f87d5a67a69ec061c8961f7a44feb94a_cat-1_002.PNG,One,Standing,No,Staff,No
4ceab4aa7c38ed5a48976db4bca23758f87d5a67a69ec061c8961f7a44feb94a_cat-1_003.PNG,One,Standing,No,Staff,No
4ceab4aa7c38ed5a48976db4bca23758f87d5a67a69ec061c8961f7a44feb94a_cat-1_004.PNG,One,Standing,Yes,Other,No
4ceab4aa7c38ed5a48976db4bca23758f87d5a67a69ec061c8961f7a44feb94a_cat-1_005.PNG,Two,Standing,Yes,Staff,No
4cf209e0ac145b15df6d177797e0d26054e59c1d07c66a507b91bd69612cc98f_cat-1_001.JPG,One,Standing,No,Staff,No
4cf209e0ac145b15df6d177797e0d26054e59c1d07c66a507b91bd69612cc98f_cat-1_002.JPG,One,Standing,Yes,Staff,No
4cf4248e075e3c64856d929fa5e6fb68467b90081badddbf3beeb2ff4128bf4c_cat-1_001.PNG,Two,Standing,Yes,Staff,No
4cf4248e075e3c64856d929fa5e6fb68467b90081badddbf3beeb2ff4128bf4c_cat-1_002.PNG,One,Unknown,Yes,Staff,No
4cf4248e075e3c64856d929fa5e6fb68467b90081badddbf3beeb2ff4128bf4c_cat-1_003.PNG,Three,Standing,Yes,Staff,No
4cf66652b9e56f404cf8abcaa3bcad09691ce6a2f3ec1406a176f2e3fcc53b66_cat-1_001.JPG,Two,Standing,Yes,Staff,No
4cf66652b9e56f404cf8abcaa3bcad09691ce6a2f3ec1406a176f2e3fcc53b66_cat-1_002.JPG,Two,Standing,Yes,Staff,No
4cf66652b9e56f404cf8abcaa3bcad09691ce6a2f3ec1406a176f2e3fcc53b66_cat-1_003.JPG,One,Sitting,Yes,Other,No
4d09aa3a8420ee6a32e9fa6164831e1f6c1dfc6b2923f5c45b57ede9994606cc_cat-1_001.PNG,Two,Standing,Yes,Staff,No
4d09aa3a8420ee6a32e9fa6164831e1f6c1dfc6b2923f5c45b57ede9994606cc_cat-1_002.PNG,Two,Standing,Yes,Staff,No
4d09aa3a8420ee6a32e9fa6164831e1f6c1dfc6b2923f5c45b57ede9994606cc_cat-1_003.PNG,Two,Standing,Yes,Staff,No
4d09aa3a8420ee6a32e9fa6164831e1f6c1dfc6b2923f5c45b57ede9994606cc_cat-1_004.PNG,Two,Standing,Yes,Staff,No
4d1a5bd480c8a8cd6cc33dd806317f3cb735948a85d5cd7a59f801fa5fffadc4_cat-1_001.JPG,Two,Standing,Yes,Other,No
4d1a5bd480c8a8cd6cc33dd806317f3cb735948a85d5cd7a59f801fa5fffadc4_cat-1_002.JPG,Two,Sitting,Yes,Patient,No
4d2775ee9bfd4aa778ecbc984ed3bb2b1f87f2d21e9eb8791a1bf5cf2ce2002a_cat-1_001.PNG,One,Sitting,No,Other,No
4d2775ee9bfd4aa778ecbc984ed3bb2b1f87f2d21e9eb8791a1bf5cf2ce2002a_cat-1_002.PNG,One,Sitting,No,Staff,No
4d2775ee9bfd4aa778ecbc984ed3bb2b1f87f2d21e9eb8791a1bf5cf2ce2002a_cat-1_003.PNG,Two,Sitting,Yes,Other,No
4d3426f8b26efba26fb695a6b3d9d980a54d7a580b59aaa18f8b07a5d255d1f8_cat-1_001.PNG,Two,Standing,No,Staff,No
4d5b664ceb67fd19c62c1ec37212c6156178aff43120b166c1b39b7384de7bc2_cat-1_001.PNG,One,Standing,No,Staff,No
4d77f8b2da667f4bc1d06d74c784da443e97e707848b7fdf1efbe5f49e4a0983_cat-1_001.PNG,Two,Standing,No,Staff,No
4d77f8b2da667f4bc1d06d74c784da443e97e707848b7fdf1efbe5f49e4a0983_cat-1_002.PNG,One,Standing,No,Staff,No
4d77f8b2da667f4bc1d06d74c784da443e97e707848b7fdf1efbe5f49e4a0983_cat-1_003.PNG,Three,Standing,No,Staff,No
4d77f8b2da667f4bc1d06d74c784da443e97e707848b7fdf1efbe5f49e4a0983_cat-1_004.PNG,Two,Standing,Yes,Staff,No
4d807a2070fdd9fc23b7773344df9451aa6c2d34b357ea1debc039be58644824_cat-1_001.PNG,Two,Sitting,Yes,Staff,No
4d807a2070fdd9fc23b7773344df9451aa6c2d34b357ea1debc039be58644824_cat-1_002.PNG,Two,Standing,No,Staff,No
4d807a2070fdd9fc23b7773344df9451aa6c2d34b357ea1debc039be58644824_cat-1_003.PNG,One,Standing,No,Staff,No
4d807a2070fdd9fc23b7773344df9451aa6c2d34b357ea1debc039be58644824_cat-1_004.PNG,One,Standing,Yes,Staff,No
4d807a2070fdd9fc23b7773344df9451aa6c2d34b357ea1debc039be58644824_cat-1_005.PNG,One,Unknown,Yes,Staff,No
4d8eca4d13edfcac41e4755c7880bcabf16fd65e4287c186acbebf593f51840e_cat-1_001.PNG,Two,Standing,Yes,Staff,No
4d8eca4d13edfcac41e4755c7880bcabf16fd65e4287c186acbebf593f51840e_cat-1_002.PNG,Two,Sitting,Yes,Patient,No
4da982bbf5c0c6a9995c6ded72ea4e7651375a5278ca1af013d1a2316d702075_cat-1_001.PNG,One,Standing,No,Staff,No
4da982bbf5c0c6a9995c6ded72ea4e7651375a5278ca1af013d1a2316d702075_cat-1_002.PNG,One,Standing,No,Staff,No
4dc6bb702f39bf43572b8380d10d20ae8fb7d8558364cea10e5cea2589b851c3_cat-1_001.PNG,Two,Sitting,Yes,Patient,No
4dc6bb702f39bf43572b8380d10d20ae8fb7d8558364cea10e5cea2589b851c3_cat-1_002.PNG,One,Standing,Yes,Staff,No
4dc6bb702f39bf43572b8380d10d20ae8fb7d8558364cea10e5cea2589b851c3_cat-1_003.PNG,Two,Standing,Yes,Staff,No
4dd607c40d7078880eb6eb95537f1a1c6e4209837870627ea7da73bbb4603388_cat-1_001.PNG,Three,Standing,Yes,Patient,No
4dd607c40d7078880eb6eb95537f1a1c6e4209837870627ea7da73bbb4603388_cat-1_002.PNG,Two,Standing,Yes,Staff,No
